[2026-03-15T03:22:20.831+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T03:22:20.129407+00:00 [queued]>
[2026-03-15T03:22:20.841+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T03:22:20.129407+00:00 [queued]>
[2026-03-15T03:22:20.842+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 2
[2026-03-15T03:22:20.856+0000] {taskinstance.py:2191} INFO - Executing <Task(BashOperator): extract_bronze_layer> on 2026-03-15 03:22:20.129407+00:00
[2026-03-15T03:22:20.863+0000] {standard_task_runner.py:60} INFO - Started process 5249 to run task
[2026-03-15T03:22:20.866+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'brewery_data_pipeline', 'extract_bronze_layer', 'manual__2026-03-15T03:22:20.129407+00:00', '--job-id', '18', '--raw', '--subdir', 'DAGS_FOLDER/brewery_pipeline.py', '--cfg-path', '/tmp/tmpzfeh14i5']
[2026-03-15T03:22:20.870+0000] {standard_task_runner.py:88} INFO - Job 18: Subtask extract_bronze_layer
[2026-03-15T03:22:20.885+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.8/site-packages/***/settings.py:194 DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
[2026-03-15T03:22:20.940+0000] {task_command.py:423} INFO - Running <TaskInstance: brewery_data_pipeline.extract_bronze_layer manual__2026-03-15T03:22:20.129407+00:00 [running]> on host 7ae72f5da3a1
[2026-03-15T03:23:07.718+0000] {subprocess.py:93} INFO - Página 77 buscada. Total de cervejarias até agora: 3850
[2026-03-15T03:23:07.719+0000] {subprocess.py:93} INFO - Página 78 buscada. Total de cervejarias até agora: 3900
[2026-03-15T03:23:07.720+0000] {subprocess.py:93} INFO - Página 79 buscada. Total de cervejarias até agora: 3950
[2026-03-15T03:23:07.721+0000] {subprocess.py:93} INFO - Página 80 buscada. Total de cervejarias até agora: 4000
[2026-03-15T03:23:07.721+0000] {subprocess.py:93} INFO - Página 81 buscada. Total de cervejarias até agora: 4050
[2026-03-15T03:23:07.722+0000] {subprocess.py:93} INFO - Página 82 buscada. Total de cervejarias até agora: 4100
[2026-03-15T03:23:07.722+0000] {subprocess.py:93} INFO - Página 83 buscada. Total de cervejarias até agora: 4150
[2026-03-15T03:23:07.723+0000] {subprocess.py:93} INFO - Página 84 buscada. Total de cervejarias até agora: 4200
[2026-03-15T03:23:07.724+0000] {subprocess.py:93} INFO - Página 85 buscada. Total de cervejarias até agora: 4250
[2026-03-15T03:23:07.725+0000] {subprocess.py:93} INFO - Página 86 buscada. Total de cervejarias até agora: 4300
[2026-03-15T03:23:07.726+0000] {subprocess.py:93} INFO - Página 87 buscada. Total de cervejarias até agora: 4350
[2026-03-15T03:23:07.726+0000] {subprocess.py:93} INFO - Página 88 buscada. Total de cervejarias até agora: 4400
[2026-03-15T03:23:07.727+0000] {subprocess.py:93} INFO - Página 89 buscada. Total de cervejarias até agora: 4450
[2026-03-15T03:23:07.727+0000] {subprocess.py:93} INFO - Página 90 buscada. Total de cervejarias até agora: 4500
[2026-03-15T03:23:07.727+0000] {subprocess.py:93} INFO - Página 91 buscada. Total de cervejarias até agora: 4550
[2026-03-15T03:23:07.728+0000] {subprocess.py:93} INFO - Página 92 buscada. Total de cervejarias até agora: 4600
[2026-03-15T03:23:07.728+0000] {subprocess.py:93} INFO - Página 93 buscada. Total de cervejarias até agora: 4650
[2026-03-15T03:23:07.729+0000] {subprocess.py:93} INFO - Página 94 buscada. Total de cervejarias até agora: 4700
[2026-03-15T03:23:07.729+0000] {subprocess.py:93} INFO - Página 95 buscada. Total de cervejarias até agora: 4750
[2026-03-15T03:23:07.729+0000] {subprocess.py:93} INFO - Página 96 buscada. Total de cervejarias até agora: 4800
[2026-03-15T03:23:07.730+0000] {subprocess.py:93} INFO - Página 97 buscada. Total de cervejarias até agora: 4850
[2026-03-15T03:23:07.730+0000] {subprocess.py:93} INFO - Página 98 buscada. Total de cervejarias até agora: 4900
[2026-03-15T03:23:07.731+0000] {subprocess.py:93} INFO - Página 99 buscada. Total de cervejarias até agora: 4950
[2026-03-15T03:23:07.731+0000] {subprocess.py:93} INFO - Página 100 buscada. Total de cervejarias até agora: 5000
[2026-03-15T03:23:07.731+0000] {subprocess.py:93} INFO - Página 101 buscada. Total de cervejarias até agora: 5050
[2026-03-15T03:23:07.732+0000] {subprocess.py:93} INFO - Página 102 buscada. Total de cervejarias até agora: 5100
[2026-03-15T03:23:07.732+0000] {subprocess.py:93} INFO - Página 103 buscada. Total de cervejarias até agora: 5150
